ticket,magic,symbol,direction,volume,open_price,close_price,open_time,close_time,profit,commission,swap,comment
289569533,0,XAUUSD.pc,BUY,0.01,4357.35000,4357.35000,2026.06.15 17:34:59,2026.06.15 17:34:59,7.42,-0.03,0.00,
289569535,0,XAUUSD.pc,BUY,0.01,4357.35000,4357.35000,2026.06.15 17:34:59,2026.06.15 17:34:59,-2.38,-0.03,0.00,
289569536,0,XAUUSD.pc,BUY,0.01,4357.35000,4357.35000,2026.06.15 17:34:59,2026.06.15 17:34:59,-2.33,-0.03,0.00,
289582378,0,XAUUSD.pc,SELL,0.01,4355.86000,4355.86000,2026.06.15 17:38:45,2026.06.15 17:38:45,0.00,-0.03,0.00,
289582428,0,XAUUSD.pc,SELL,0.01,4355.66000,4355.66000,2026.06.15 17:38:46,2026.06.15 17:38:46,0.00,-0.03,0.00,
289582504,0,XAUUSD.pc,SELL,0.01,4355.66000,4355.66000,2026.06.15 17:38:47,2026.06.15 17:38:47,0.00,-0.03,0.00,
289584167,0,XAUUSD.pc,SELL,0.01,4357.47000,4357.47000,2026.06.15 17:39:22,2026.06.15 17:39:22,0.00,-0.03,0.00,
289586636,0,XAUUSD.pc,SELL,0.01,4357.15000,4357.15000,2026.06.15 17:40:35,2026.06.15 17:40:35,0.00,-0.03,0.00,
289590227,0,XAUUSD.pc,SELL,0.01,4355.28000,4355.28000,2026.06.15 17:43:04,2026.06.15 17:43:04,0.00,-0.03,0.00,
289590233,0,XAUUSD.pc,SELL,0.01,4355.16000,4355.16000,2026.06.15 17:43:05,2026.06.15 17:43:05,0.00,-0.03,0.00,
289590241,0,XAUUSD.pc,SELL,0.01,4355.32000,4355.32000,2026.06.15 17:43:06,2026.06.15 17:43:06,0.00,-0.03,0.00,
289593241,0,XAUUSD.pc,SELL,0.01,4358.14000,4358.14000,2026.06.15 17:44:30,2026.06.15 17:44:30,0.00,-0.03,0.00,
289598012,0,XAUUSD.pc,SELL,0.01,4360.80000,4360.80000,2026.06.15 17:45:21,2026.06.15 17:45:21,0.00,-0.03,0.00,
289602620,0,XAUUSD.pc,SELL,0.01,4359.88000,4359.88000,2026.06.15 17:46:05,2026.06.15 17:46:05,0.00,-0.03,0.00,
289614746,0,XAUUSD.pc,SELL,0.01,4361.93000,4361.93000,2026.06.15 17:49:10,2026.06.15 17:49:10,0.00,-0.03,0.00,
289618608,0,XAUUSD.pc,SELL,0.01,4361.65000,4361.65000,2026.06.15 17:49:48,2026.06.15 17:49:48,0.00,-0.03,0.00,
289630876,0,XAUUSD.pc,SELL,0.01,4362.35000,4362.35000,2026.06.15 17:54:32,2026.06.15 17:54:32,0.00,-0.03,0.00,
289639249,0,XAUUSD.pc,BUY,0.01,4357.37000,4357.37000,2026.06.15 17:59:48,2026.06.15 17:59:48,-2.05,-0.03,0.00,
289639251,0,XAUUSD.pc,BUY,0.01,4357.37000,4357.37000,2026.06.15 17:59:48,2026.06.15 17:59:48,2.51,-0.03,0.00,
289639252,0,XAUUSD.pc,BUY,0.01,4357.37000,4357.37000,2026.06.15 17:59:48,2026.06.15 17:59:48,-2.09,-0.03,0.00,
289639254,0,XAUUSD.pc,BUY,0.01,4357.37000,4357.37000,2026.06.15 17:59:48,2026.06.15 17:59:48,-0.22,-0.03,0.00,
289639256,0,XAUUSD.pc,BUY,0.01,4357.37000,4357.37000,2026.06.15 17:59:48,2026.06.15 17:59:48,4.28,-0.03,0.00,
289639258,0,XAUUSD.pc,BUY,0.01,4357.37000,4357.37000,2026.06.15 17:59:48,2026.06.15 17:59:48,-1.51,-0.03,0.00,
289639259,0,XAUUSD.pc,BUY,0.01,4357.37000,4357.37000,2026.06.15 17:59:48,2026.06.15 17:59:48,4.56,-0.03,0.00,
289639260,0,XAUUSD.pc,BUY,0.01,4357.37000,4357.37000,2026.06.15 17:59:48,2026.06.15 17:59:48,0.77,-0.03,0.00,
